,,微博内容,,发布来源,,,,,,
,,张家辉的普通话有多普通？周杰伦确认过眼神之后：你说广东话就可以了！渣渣辉松了口气：那十秒我仿佛度过了一个世纪YouTube上... ?,,微博 weibo.com,,,,,,
,,青春的记忆《晴天》周杰伦2016福州演唱会 1fYouLoveM... ?,,前置双摄vivo X9,,,,,,
,,……等杰伦新歌的状态就这样#不爱我就拉倒##周杰伦不爱我就拉倒# ?,,QB哪的三星 Galaxy S7 Edge,,,,,,
,,"#福州身边事# 【福州大学女生翻唱周杰伦《说好的幸福呢》 好听】《说好的幸福呢》是钟兴民编曲，方文山作词，周杰伦作曲并演唱的歌曲，收录于周杰伦2008年10月14日发行的专辑《魔杰座》中，这首歌被称为2008年最遗憾的情歌，有着听歌者最容易触动心弦的旋律，下面的mv是福州大学刘禹盺翻唱周杰伦 ?
			...展开全文c",,iPhone 6s,,,,,,
,,//分享网易新闻:《成都文广新局:周杰伦演唱会如违规将依法依规处理》 |成都文广新... @网易新闻客户端 #网易新闻# ?,,iPhone客户端,,,,,,
,,周杰伦，所以我到底要不要回头？#2018年周杰伦演唱会# .#周杰伦长沙演唱会# ?,,,,,,,,
,,周杰伦无与伦比演唱会，当这个女孩出来，全场沸腾！满满的青春回忆…… 不要再叫我... ?,,秒拍网页版,,,,,,
,,发布了头条文章：《#昆凌#和别人穿#情侣装#，#周杰伦#吃醋，天王嫂瞬间哄好小公举》 |昆凌和别人... ?,,微博 weibo.com,,,,,,
,,那些年的深v什么的(?? . ??)周杰伦 #不爱我就拉倒#  ?,,OPPO R9 Plus,,,,,,
,,周杰伦 经典翻唱 《红豆 x 偿还》 周杰伦中文... ?,,秒拍网页版,,,,,,
,,"昆凌情侣装 周杰伦醋意别老盯着人家私下了求放过成都演唱会，暖心的杰伦：因为这边真的蛮远的 演唱会上也说这个场地太远了 下次我们一定要开到一个近一点的地方 其实我来的路上看到大家都蛮辛苦的 这些公安啊还有安保人员啊 维护秩序啊 然后在那个路上 我还看到有些人拍这个影片 来的路 ?
			...展开全文c",,老年杰迷的iPhone X,,,,,,
,,#不爱我就拉倒#  坐等官宣 周杰伦新歌不爱我就拉倒 不相信一切所谓“据说”“内部消息 ?,,360安全浏览器,,,,,,
,,发布了头条文章：《周杰伦成都演唱会，歌迷要搭乘电三轮，还得颠簸几公里现场像荒滩》 |周杰伦成都... ?,,微博 weibo.com,,,,,,
,,来个暴露年龄视频，杨幂和周杰伦一起拍过广告，你们看过吗？满满青春气息与回忆#周杰伦# 昔日点播的... ?,,,,,,,,
,,不爱我就拉倒！！周杰伦新歌马上要来了！！各位安静等待官宣20180504——jaychou：其实我早就唱好了 演唱会结束赶紧来跟雨勳大师咪歌做最后的final谢谢麦天王载我外带麻吉珍奶 不爱我就拉倒 不爱喝就跌倒 ? ???,,HUAWEI Mate 9,,,,,,
,,#周杰伦# 周杰伦新歌不爱我就拉倒倒放周杰伦青花瓷，前奏美爆了，没听过的快收藏吧#初夏良曲种草# 音乐盒子_B... ?,,,,,,,,
,,"有人说，你卖的牌子没听过，不是大品牌。我要告诉你的是：听过的牌子，无非是来自广告，并不代表你真的了解它们的产品。你相信李敏镐会骑雅迪电动车吗？你相信周杰伦喝2块钱的优酸乳吗你相信张柏芝骑大运摩托车吗？飘柔广告好，你真的见过梳子往下掉？康师傅泡面广告好，里面牛肉真那么大吗？
			...展开全文c",,OPPO超视野全面屏R15,,,,,,
,,我受够了等待，你所谓的安排，说的新歌到底多久才来#周杰伦不爱我就拉倒##不爱我就拉倒##周杰伦新歌# ?,,????的iPhone 6s,,,,,,
,,"#TFBOYS##TFBOYS三人同行# 王俊凯的粉丝可以为了王俊凯去喜欢杨幂和周杰伦，  王源的粉丝可以为了王源去喜欢朴信惠和林俊杰，  易烊千玺的粉丝可以为了易烊千玺去喜欢权志龙， ? 你们能为了自己的爱豆去接受别人，为什么你们就不能接受和他一路并肩走来的两个两个兄弟呢  ??? ?
			...展开全文c",,,,,,,,
,,《淘汰》现场版，周杰伦+陈奕迅，不同的嗓音，好听！ 秒拍视频 ?,,微博 weibo.com,,,,,,
,,#初夏良曲种草# 还记得每年这个时候被周杰伦支配的恐惧吗？不管等多少个星期，都愿意等你，谁叫你是周杰伦！#周杰伦长沙演唱会# 音乐班叶湘... ?,,,,,,,,
,,终于知道了周杰伦为什么一直不出来新歌，因为要衬托新歌也真是煞费苦心，周杰伦就故意让你们多等等，然后他就突然发行「不爱我就拉倒」。 ?,,公元999年&iPhone 7 Plus(黑色),,,,,,
,,#王俊凯#几年后，和男友走在大街上，突然看到李钟硕的海报，男友停下脚步问我：“你还喜不喜欢周杰伦？”我摇了摇头说：“不喜欢。”“我记得你以前不是超喜欢他吗？”“你记错了 我不追星”“那当初是谁追的我死去活来的 最后做了我的女朋友？”王俊凯笑了笑 牵起了我的手 ?,,iPhone客户端,,,,,,
,,九月你好 周杰伦 中国新歌声演唱《告白气球》 ?,,微博 weibo.com,,,,,,
,,昆凌的姐姐很喜欢周杰伦，没想到吧，偶像变妹夫 本仙女爱追... ?,,微博 weibo.com,,,,,,
,,天灰灰 会不会 让我忘了妳是谁……@乐不思蜀思宁德 @电子科技大学成都学院 我即将踏上远行道路……?我正在收听周杰伦的歌曲《世界末日 （Live）》 网页链接 （来自@QQ音乐） ?,,分享按钮,,,,,,
,,周杰伦夫妇最近是不是缺钱了 ?,,iPad Pro,,,,,,
,,#ninepercent蔡徐坤##贾乃亮#周杰伦B-BOX绝活之最经典《爱在西元前》演唱会版，一起来感受一下吧！ ?,,Android客户端,,,,,,
,,我对你的思念像底格里斯河般的蔓延@王凯kkw #陪王凯细水长流##王凯##王凯大江大河##王凯宋运辉# ?我正在收听周杰伦的单曲《爱在西元前》?网页链接（来自@QQ音乐） ?,,小皮卡的iPhone 6s Plus,,,,,,
,,超甜！翻唱达人KHS与Casey Breves和Jasmine Clarke合作，共同演绎周杰伦的经典甜曲《告白气球》，动听的钢琴搭配上温暖的歌声，满满的浪漫~#秒拍# 开眼精选视... ?,,微博 weibo.com,,,,,,
,,"昆凌与助手穿“情侣装” 周杰伦“吃醋”----------日前，昆凌在网上晒出一张照片，写道：“Anyone need pink workers？组装弹跳垫这么费劲”，照片中，昆凌头戴粉色帽，身穿粉色T恤，眼前刚组装好一个粉色弹跳垫。而身边的助理也身穿粉色T恤，两人简直是“情侣装”。周杰伦评论道：“我觉得这衣服 ?
			...展开全文c",,三星 GALAXY S6,,,,,,
,,"【昆凌与助手穿”情侣装“ 周杰伦回复醋意十足】日前，昆凌@HannahQuinlivan 在网上晒出一张照片，并配文写道：“Anyone need pink workers？组装弹跳垫这么费劲”。照片中昆凌扎马尾辫，头戴粉色帽，身穿一件粉色短袖T恤，眼前刚组装好一个可爱的粉色弹跳垫。而身边的助理也身穿粉色T恤，两人简直是“ ?
			...展开全文c",,微博 weibo.com,,,,,,
,,詹姆斯绝杀今年季后赛第二个压哨绝杀，骑士队系列赛3:0领先突然发现周杰伦原来给多伦多猛龙写过歌！！！“猛龙的时间，我们溜了多远……”音乐盒子_B... ?,,,,,,,,
,,当周杰伦的新歌《等你下课》遇上周杰伦的电影 一个平凡的... ?,,微话题,,,,,,
,,#精彩抢先看#今天周末，小汇来喊大家听歌啦~在今天的《精彩音乐汇》中你将听到@张韶涵 的《隐形的翅膀》、#周杰伦#的《告白气球》和@努力努力再努力x @黄渤 @William威廉陈伟霆 的《最好的舞台》等等，小伙伴们，一定不要错过今天的节目哦！ ?,,微博 weibo.com,,,,,,
,,不相信周杰伦是爸爸，女儿暴怒气哭骂妈妈被可爱的女儿萌到！ 飞笑的秒拍... ?,,秒拍网页版,,,,,,
,,周杰伦和五月天史诗般的合作！ 全球热门收... ?,,秒拍网页版,,,,,,
,,学钢琴三个月，最近学的周杰伦 音乐晓公举... ?,,秒拍网页版,,,,,,
,,发布了头条文章：《周杰伦成都演唱会主办方被约谈 如有违规行为依法处置》 |周杰伦成都... ?,,微博 weibo.com,,,,,,
,,#创造101# 【公演】强东玥队《爷爷泡的茶》，加入苏州小调别有一番风味@腾讯视频 开口四季歌，绝对加分，唱完便是琵琶的前奏，哇，这首真是这一期唯二之一让我记住的，无论是舞美还是服装设计还是歌曲改编，第一次get到周杰伦这首歌的现代中国风 【公演】强... ?,,腾讯视频安卓客户端,,,,,,
,,"我排着队拿到爱的号码牌！选座啦！！！2018周杰伦【地表最强2】世界巡回演唱会郑州站6月10号场，将于5月7日上午 11:58开始选座，选座时间为11:58-13:26，共45组，每组间隔2分钟，请根据自己的分组依次进组抢座！（注：若未能在13:26之前参与抢座，系统将自动配备哦）。具体可关注【大麦网郑州 ?
			...展开全文c",,微博 weibo.com,,,,,,
,,周杰伦《告白气球》醉人的巴黎塞纳河畔风光，还是那样酷酷的周杰伦就这样漫步在碎石路面上，为你吟唱出这样一首浪漫多情的告白情愫。周杰伦新歌《不爱我就拉倒》即将上线，期待#周杰伦不爱我就拉倒# 一句暖心的... ?,,Android客户端,,,,,,
,,周杰伦的歌真的是满满青春的记忆。 ?,,iPhone客户端,,,,,,
,,分享一个周杰伦跟舒淇早期一起主持的视频我伦：我觉得如果再这样主持下去 这节目可能结束了 不管不管我... ?,,,,,,,,
,,林书豪：You’re so annoying 周杰伦 lol!! 你太讨厌了哈哈！L周杰伦微博资讯的 ????,,微博 weibo.com,,,,,,
,,#2018周杰伦成都演唱会# @周杰伦资讯网官方微博 @周杰伦成都歌迷会官方微博 @OurJay周杰伦深圳歌迷会 心疼歌迷，场馆太远，下一次我们找一个近一点好吗？杰伦叮嘱小姐姐把影片拍下来，拿回去给麻麻看-听妈妈的话， 说好的小贝... ?,,iPhone 8（金色）,,,,,,
,,@JeremyLin林书豪 ins更新了一张自己肖像画#周杰伦# 评论:要不要我也幫你畫一張 @JeremyLin林书豪 :不用。你不知道真麽畫呢麼帥的突然想到杰伦春晚画的生肖狗了 ?,,,,,,,,
,,分享网易新闻 《成都文广新局:周杰伦演唱会如违规将依法依规处理》|成都文广新... 来自@网易新闻客户端 #网易新闻# ?,,小米手机5,,,,,,
,,周杰伦演唱会上，兄Die这就是你人生的巅峰 ！！！#搞笑视频# 搞笑新秀的... ?,,秒拍网页版,,,,,,
,,#昆凌情侣装 周杰伦醋意# 昆凌@HannahQuinlivan 与周董潮牌合伙人穿周董潮牌同款合影，没想到周杰伦却回复：“我也觉得这衣服不知哪里怪怪的”并带了一个若有所思的表情。哈哈哈，有啥办法，自家的衣服，你说能咋办 深度影娱圈... ?,,皮皮时光机,,,,,,
,,#长沙生活# 【你的爱豆是什么甜品呢？】咳咳！迷妹们注！意！了！代表老公们的9款甜品来了！易烊千玺，胡歌，周杰伦，陈伟霆，蔡徐坤，吴磊，吴亦凡，刘昊然，彭于晏！“老公和甜品更配”！小编为图8“温暖阳光的舒芙蕾”打call ！你的最爱是谁呢？！ ?,,iPhone客户端,,,,,,
,,#昆凌情侣装 周杰伦醋意# 昆凌@HannahQuinlivan 与周董潮牌合伙人穿周董潮牌同款合影，没想到#周杰伦# 却回复：“我也觉得这衣服不知哪里怪怪的”并带了一个若有所思的表情。哈哈哈，有啥办法，自家的衣服，你说能咋办 杰伦可真是实力宠妻。老婆的ins随时都有回复 扒音盒子精... ?,,,,,,,,
,,#昆凌情侣装 周杰伦醋意#一大早醒来我周又双叒叕被搬上热搜？第一澄清这不是助理是杰伦潮牌的合伙人第二澄清昆凌身上穿的是我周的衣服渣浪能不能远离私生活关注作品？断章取义标题党能不能做个人#周杰伦不爱我就拉倒# 新歌出来的时候热搜没有动静您原地爆炸司马了谢谢 ?,,守护Jay的Android,,,,,,
,,#周杰伦“病毒式”表白# 昆凌上节目公开周杰伦求婚细节，也是浪漫到炸啊！昆凌：我很冷诶，我想睡啦！周公主：不行啦，我们一定要去吃这顿饭，你随便乱穿去餐厅就好啦~傲娇如斯，不愧是我周公主啊！#昆凌情侣装 周杰伦醋意# 表白备忘录... ?,,微博 weibo.com,,,,,,
,,#周杰伦##林书豪# Ins更新肖像画，杰伦：要不要我也帮你画一张。@JeremyLin林书豪 ：不用，你不知道怎么画这么帅的照片还记得杰伦当年在春晚前一笔成喵的画作吗？林书豪的担心是对的 ?,,iPhone客户端,,,,,,
,,jay有种青春叫做：都是你的歌声陪伴长大的@周杰伦资讯网官方微博 @周杰伦中文网JayCn @周杰伦粉丝团官方微博 @周杰伦歌迷网官方微博 大脸猫lll... ?,,iPhone客户端,,,,,,
,,#周杰伦郑州演唱会# Vani丶的秒...收到票的小伙伴，我这里还有票，私聊我 ?,,大麦网官方iPhone客户端,,,,,,
,,周杰伦和五月天史诗般的合作！ 幽默搞笑视... ?,,秒拍网页版,,,,,,
,,【成都文广新局：周杰伦演唱会如有违规，将依法规处理】5月4日下午，针对&ldquo;2018周杰伦&lsquo;地表最强2&rsquo;世界巡回演唱会（成都站）&rdquo;举办单位在组织、管理、服务上存在不完善和不周到等问题，给正在积极打造音乐之都的 （分享自 @凤凰网娱乐） |成都文广新... ?,,分享按钮,,,,,,
,,#昆凌情侣装 周杰伦醋意#小周周学会周杰伦的口头禅：哎呦，不错哦！昆凌：要注意言行了！昆凌真的是很有素质的女明星，这样的细节，记者提问时，她都很认真的倾听！ 辰星综艺速... ?,,iPhone 6s,,,,,,
,,哈哈哈哈哈哈哈哈笑岔气了，台湾一萌妹子非常喜欢周杰伦，说了择偶标准之后，节目组就找了一个他认为很像杰伦又会唱歌的日本男生…东尼大木老师感觉是我伦被黑的最惨的一次 金逼镶钻·... ?,,一炮八万的iPhone 7(脑残粉),,,,,,
,,刘欢那英周杰伦陈奕迅同台演唱沧海一声笑，太有气势了 趣味无限大... ?,,微博 weibo.com,,,,,,
,,她是周杰伦捧红的艺人，与戴立忍恋爱12年，如今34岁变身文艺女神-徐越人 网页链接 ?,,iPhone客户端,,,,,,
,,#周杰伦福州演唱会门票#6.24  1980有8张连坐的，有意私聊。 ?,,大麦网官方iPhone客户端,,,,,,
,,……刚刚听周杰伦现场改编的歌曲合集，太好听了感叹了一句:卧槽李轻扬好帅绝望.jpg ?,,Weibo.intl,,,,,,
,,"#昆凌情侣装 周杰伦醋意#周杰倫珍貴視頻周杰倫 2014年魔天倫2 世界巡迴演唱會周杰倫(女聲) 成龍 合唱版 - 《明明白白我的心》兩人擁抱超級暖心吶～
			...展开全文c",,自拍大明星?美图M6s,,,,,,
,,昆凌情侣装 周杰伦醋意 昆凌为孩子准备弹跳垫与助理穿“情侣装”，周杰伦醋意十足，其实那并不是助理，是周董潮牌Phantaci合伙人，昆凌只不过是开个玩笑而已，大家有这个时间还不如了解一下周董的《不爱我就拉倒》 后裔射月不... ?,,iPhone客户端,,,,,,
,,会玩！周杰伦和周渝民假装打'架，陈'冠'希和言承旭连忙劝'架，太逗了 #搞笑视频# 搞笑年度排... ?,,秒拍网页版,,,,,,
,,发布了头条文章：《昆凌为儿子准备弹跳垫与人穿情侣装，周杰伦醋意回复15字》 |昆凌为儿子... ?,,微博 weibo.com,,,,,,
,,"#苏州爆料#在#创造101#公演中，由苏州小娘鱼强东玥领衔的小组表演了@周杰伦 的歌《爷爷泡的茶》，这首女团版的改编结合了周董原版的中国风，充满了少女气息，连导师@胡彦斌 都称赞说，在西湖边上，听到这一首这样中国风的歌，像喝了西湖龙井，意犹未尽。笑眼女孩强东玥将苏州小调融入在歌曲中，开口就 ?
			...展开全文c",,秒拍网页版,,,,,,
,,#周杰伦新歌不爱我就拉倒# 我牛都吹出去了，再不发歌我有点没面子 ?,,呵，iPhone 7,,,,,,
,,"#昆凌情侣装 周杰伦醋意#？？？这个夫妻之间的小情趣，也值得热搜一下？？ins就像他的朋友圈，可以不要发一条搬一条吗？既然上来了，我顺便问个事，那天成都演唱会唱双截棍的时候，周杰伦说哪边声音大，双截棍就往哪边扔，最后双截棍谁捡到了？？我本来当时想过去抢的 ?
			...展开全文c",,iPhone客户端,,,,,,
,,昆凌情侣装 周杰伦醋意偶遇周杰伦昆凌渣浪有完没完天天带周杰伦？？没完没了搬我伦ins，私人行程也关注！！新歌怎么不见热搜啊？？#周杰伦不爱我就拉倒# 了解一下啊！！！一起来看地表最强2成都站的航拍视频——【视频来源逍遥Franci... ???】 ?,,HUAWEI Mate 9,,,,,,
,,现在的造星也太容易了，想当年许嵩林俊杰周杰伦不都是有好多经典作品才出名的，许嵩当年真的是虎口夺食，得靠多少首经典作品才把我拉进坑的，相比现在的小鲜肉，上个综艺就能吸引那么多粉丝，没有任何作品都能火起来，搞不懂现在的年轻人的想法 ?,,iPhone客户端,,,,,,
,,昆凌情侣装 周杰伦醋意 偶遇周杰伦昆凌 渣浪能不能消停点啊  杰伦出新歌怎么不见天天热搜  说点别的吧 当初就是因为这首歌而喜欢上周杰伦的举手！????当年这首歌是很多人的入坑曲啊！你的是什么？？ 新歌#周杰伦不爱我就拉倒# 了解一下 ? 地表最强叶... ?,,华为手机,,,,,,
,,黄国伦遗憾错过周杰伦 林依轮钦点潘玮柏！ 搞笑视频共... ?,,卖肾换来的iPhone客户端,,,,,,
,,#不爱我就拉倒# @南拳媽媽彈頭 常州见面会透露：记得来听周杰伦演唱会，不听就拉倒，不爱我也拉倒，因为那个歌是我写的，好不好？所以新歌是要出来了吗？小公举来的... ???,,小米5X 拍人更美,,,,,,
,,@-杏仁很好吃- @MISSLiuNan @我想要对卧蚕然后美美的睡 我正在听周杰伦的歌曲《发如雪》（来自@酷狗音乐），你也来听听吧！网页链接 ?,,手机酷狗安卓版,,,,,,
,,周杰伦《等你下课》真人导演版MV出炉！节后上班第一天，听一首暖暖的歌#秒拍# 七里外的风... ?,,微博 weibo.com,,,,,,
,,网友澳洲偶遇周杰伦昆凌 穿拖鞋逛街悠闲随性 ?,,小米Note 3 拍人更美,,,,,,
,,【珍贵照片】2001年2月周杰伦新加坡机场照片。当时无人接机，几乎没有人关注他，行李都是自己拿，但是他就是这样从默默无闻一步步走向华语流行天王的！共勉！ ?,,iPhone X,,,,,,
,,偶遇鹿晗 偶遇周杰伦昆凌 偶遇雷佳音 偶遇罗志祥 偶遇偶遇 黄晓明 范丞丞 范冰冰 谢娜胖了 谢娜回归 张杰 威亚鼓表演 @周杰伦 @昆凌 @鹿晗 @邓超 @孙俪 北京厨房打... ?,,HUAWEI Mate 8,,,,,,
,,偶遇周杰伦昆凌 很羡慕的一对，我们的厨房打击乐专场表演承接全国各地商演@周杰伦昆凌 #周杰伦昆凌# @欧派家居集团 @欧派 北京厨房打... ?,,HUAWEI Mate 8,,,,,,
,,刘德华耿直回答周杰伦为啥当初不唱他写的歌“那时候你红了吗” ?,,即刻笔记,,,,,,
,,周董问蔡依林难不难过，蔡依林说有一点，周董：有空来我这里！ 周杰伦要的是公主，而蔡依林偏偏是女王???倒带吧 青春#搞笑视频# 网黄一只猪... ?,,秒拍网页版,,,,,,
,,网友偶遇一个跟周杰伦十分相像的路人，结果拍下来发到网上后一下子火了，说连眼神都和周杰伦的一模一样！你们感受一下 ?,,微博 weibo.com,,,,,,
,,昆凌的姐姐很喜'欢周杰伦，没想到吧，偶像变妹夫?#搞笑幽默事# 司机发车了... ?,,秒拍网页版,,,,,,
,,#疯狂婚礼季#【斗琴 电影lt;不能说的秘密gt;剪辑-周杰伦 高清MV-音悦台】斗琴+电影lt;不能说的秘密gt;剪辑-周杰伦+高清MV-音悦台。。。杰伦太有才了 t.cn/h4cGmC超屌吖 ?,,微博 weibo.com,,,,,,
,,妈妈骗女孩爸爸是周杰伦，哈哈哈小孩子好可爱 鬼才君的秒... ?,,微博 weibo.com,,,,,,
,,昆凌与助手穿情侣装 周杰伦15字回复醋意十足 ?,,微博 weibo.com,,,,,,
,,不相信周杰伦是爸爸，女儿暴怒气哭骂妈妈被可爱的女儿萌到！#搞笑趣事# 不良学姐的... ?,,秒拍网页版,,,,,,
,,初闻不知曲中意，再听已是曲中人? 周杰伦的《开不了口》 项羽爱虾说... ?,,秒拍网页版,,,,,,
,,好想再看一次周杰伦演唱会去年我是一个人跑去看的泪流满面 ?,,Android,,,,,,
,,周杰伦如果咬字清晰的去唱一首歌是什么样的呢？一样好听！ 全是幽默菌... ?,,秒拍网页版,,,,,,
,,突然想起来，初中的时候很羡慕班上的一个金牛座女孩，因为她失恋的时候一直在听星座书上，里面有一句“金牛座的我配不上你的好”，我觉得她好幸福喔，她就好像有自己的专属歌曲一样。但后来周杰伦直接出了一张魔杰座的专辑，然后我再也不用羡慕别人了。 ?,,,,,,,,
,,周杰伦为别人创作的60首歌曲，每一首都那么好听，好多我竟然都不知道出自杰伦之手啊 #秒拍# BOOZ音乐的... ?,,iPhone 6s Plus,,,,,,
,,"周杰伦地表最强2’世界巡回演唱会（成都站），第三方举办单位在组织、管理、服务上存在不完善和不周到等问题，引起众多粉丝不满：主办方声称周杰伦成都演唱会的门票早已卖完，但临到5月1日周杰伦当晚演出时，为什么“黄牛”手上又拿出了那么多门票出来倒卖？甚至还降价打折。这让真正想亲眼看到周杰伦 ?
			...展开全文c",,微博 weibo.com,,,,,,
,,#这就是街舞#周杰伦《摩天轮2》演唱会化身魔幻天王香港开唱，唱新歌疑似倒追昆凌难过岳父关。 ?,,微博 weibo.com,,,,,,
,,纯爱电影《第一次》在第二届北京国际电影节，导演韩廷携手主演Angelababy、袁咏琳亮相。公布的第一首主题曲《都要微笑好吗？》由乐坛天王周杰伦作曲、方文山作词，由饰演女主角宋诗乔的Angelababy演唱。 ?,,小米Note 3 拍人更美,,,,,,
,,娑婆世界的周杰伦走进了琉璃世界的周杰伦 你变了吗 但是我变了 ?,,Android客户端,,,,,,
,,"想起来上高二时候 周杰伦结婚那天 我正上课偷偷用同学手机上网 突然就看到周杰伦结婚的消息 那个瞬间心里就崩溃了 蹲在地上暴哭 哭了好久 好多同学以为我咋了 跑过来问我怎么了 当我说了我哭是因为周杰伦结婚之后 他们笑我 骂我傻子 说实在的 当时真的恨透了昆凌了 当时觉得周杰伦肯定是被昆凌勾引了 ?
			...展开全文c",,王俊凯送的iPhone 7,,,,,,
,,重新整理了一下周杰伦00年至今的专辑，感悟良多，总还有一些是没想到啊！ ?,,iPhone 7 Plus,,,,,,
,,“你喜欢听周杰伦，我一直唱着摇滚”@杜新杰DxJ @欧拉艺术空间 Passionsss... ?,,秒拍网页版,,,,,,
,,突然好怀念以前疯狂喜欢周杰伦的那段岁月???~ ?,,小米Note 3 拍人更美,,,,,,
,,#周杰伦不爱我就拉倒# 目前新歌还在筹备中，预计下下周发布好的东西要耐心等待 ?,,iPhone客户端,,,,,,
,,偶遇周杰伦昆凌#周杰伦# #romeo# 热搜能不能放过我们？偶遇偶遇 感觉全世界都在偶遇我周哼╯^╰我不嫉妒真的不嫉妒我没有我不是别瞎说 ?,,守护Jay的Android,,,,,,
,,我崩了，我没有看过偶像练习生，没看过101，没钱氪恋与制作人，不认识蔡徐坤，不认识陈立农，不认识今天首页一直在刷的女生。我的键盘皮肤和壁纸是周杰伦。我是个不懂当今综艺只会狗电竞的老年人了。 ?,,九岁买的Android,,,,,,
,,"时隔一年，#周杰伦# 地表最强成都站让我们又聚一起啦，这次虽然一起去的人不多，但是这次比以往的热情更多了。4月30日～5月2日！我们在相聚美丽的蓉城，度过了一个愉快的假期！感谢大家。感谢@韩韩韩_Ellen 韩哥找关系买的演唱会门票，感谢@Stray_Mine 杨总和@是继续可爱的生活阿 夏夏，让我们组了个小 ?
			...展开全文c",,33919iPhone 7,,,,,,
,,周杰伦“小公举“三个字果然不是白叫的 ?,,微博 weibo.com,,,,,,
,,开工大吉！祈福顺利！?? #周杰伦长沙演唱会# 我们长沙见！#周杰伦2018长沙演唱会# ?,,,,,,,,
,,#周杰伦新歌不爱我就拉倒#离这周结束还剩24小时，说好的发新歌呢，等到零点，不发拉倒 ?,,iPhone 6s,,,,,,
,,时隔16年，周杰伦的《开不了口》重新编曲，催泪大片感动来袭，你总说我不在意，其实我都放心里！ #谜之微笑# 贼逗了的秒... ?,,秒拍网页版,,,,,,
,,我张家港可真有钱去年错过周杰伦萧亚轩潘玮柏今年错过田馥甄林宥嘉蔡依林所以明年呢？林俊杰？听说哭倒一大片？然而我在学校宿舍……我真的不羡慕 ?,,iPhone客户端,,,,,,
,,周杰伦一言不合就翻跟头的少年…哈哈哈哈哈哈#偶遇周杰伦昆凌# ?,,,,,,,,
,,我周杰伦已经成为选秀曲库了，从土呕到土创，从快女到超男，从中国好声音到中国有嘻哈，我感觉我的本命的小眼睛在盯着我爬墙。 ?,,,,,,,,
,,明天爬山了，准备了上山的东西。晚上没吃烧烤，没出去上网，看了周杰伦的演唱会。安！ |上饶·冰溪... ?,,荣耀V9 我想要的快,,,,,,
,,华语流行音乐黄金时代集锦，林俊杰，蔡依林，罗志祥，S.H.E，王力宏，张韶涵，潘玮柏，王心凌，孙燕姿，梁静茹，F4，萧亚轩，飞儿乐队，李宇春，周杰伦，周笔畅……10分钟17首歌，值得收藏，时代的记忆。 历史全的秒... ?,,微博云剪,,,,,,
,,#宾水西道399号##晚安天工大# 工大周杰伦的歌声伴你晚安～在望星唱歌的小哥哥就是他哦@新博学长 |天津·天津... 天津工业大... ?,,华为P9手机摄影再突破,,,,,,
,,周杰伦《开不了口》网页链接 @QQ音乐 网页链接 ?,,QQ音乐,,,,,,
,,周杰伦《借口》现场版，多年以后经历过该经历的一切，才能深深体会到这首歌，真的是往人心里去的！#周杰伦# 百听不厌音... ?,,微博网页,,,,,,
,,#NINEPERCENT##nine percent粉丝见面会直播#  @超级農農 跳心愿便利贴也太可爱了吧！台湾腔很像周杰伦诶，喜翻了 纪甜菜的秒... ?,,iPhone客户端,,,,,,
,,"我们杰伦儿94这么有魅力，想当初我实习的时候，这位小姐姐并不是很喜欢周杰伦来着，看个音乐节目还只听翻唱嫌弃原唱（没错我说的就是最长的电影）然后有一天她的男票带她去看了一场演唱会以后从此就爱上了，前几天看她发朋友圈还说开车的时候也得听周杰伦的歌才觉得舒服，我终于可以对她说你知道我之前 ?
			...展开全文c",,iPhone客户端,,,,,,
,,粉丝一号群是图透群，每套写真均有图透w不过需要付费两元可进哦只是避免白嫖党和进了就退粉丝二号群直接输入密码周杰伦即可进群！因为之前被盗图过以防万一图透就不发二群啦～谢谢合作，不过我在两个群都有冒泡！欢迎来找我玩 ?,,卡莉斯塔的iPhone 6s Plus(玫瑰金),,,,,,
,,"2005年杰伦弹奏钢琴视频第16届金曲奖颁奖典礼上，周杰伦&宇豪钢琴合奏，全程舔屏！中间有惊喜哦【白衣黑琴、钢琴王子】周杰伦，你怎么辣么帅！！！ 我喜欢的样子你都有，你所有的样子我都喜欢看完视频平复一下激动的心情，杰迷们晚安喽 ?
			...展开全文c",,,,,,,,
,,#周杰伦地表最强成都站#点歌环节，女歌迷：我喜欢你很久了，每年来每年都会看，而且我有预感今晚会选中我！你的歌，我借的第一盘磁带，是我最爱的人借给我的！最后点歌《不能说的秘密》#不爱我就拉倒# 周杰伦歌迷... ???,,iPhone 8 Plus,,,,,,
,,#周杰伦##绝地求生##不愛我就拉倒 # 网友在绝地求生中用周杰伦语音包撩妹！大兄die，能告诉我在哪下载吗？ 视频中说是《很皮语音包》有兴趣的杰迷可以去下载》杰伦组织的... ?,,OurJay官博iPhone客户端,,,,,,
,,#情感#[打哈气] 周杰伦台北小巨蛋演唱会，坐在台下被镜头照到的萧敬腾装作一团雾水，然后默默的从口袋掏出了麦克风 ，两人合作了《阿飞的小蝴蝶》+《告白气球》 搞笑乐趣多... ?,,微博 weibo.com,,,,,,
,,周杰伦儿子首曝光！胖乎乎的好可爱啊，这个扶帽檐的姿势，周杰伦本伦了 ?,,微博 weibo.com,,,,,,
